	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000002	10	14	44	24	3	6	17	17	16	43	15	63
ENSSSCG00000000003	63	196	175	169	53	202	191	119	155	110	162	180
ENSSSCG00000000005	10	35	12	31	13	14	27	17	35	31	31	45
ENSSSCG00000000006	36	75	90	47	60	36	71	61	1	14	5	16
ENSSSCG00000000007	47	105	59	84	58	107	65	61	83	72	79	99
ENSSSCG00000000010	112	603	424	609	96	1018	440	1007	71	592	89	820
ENSSSCG00000000014	10	13	12	5	7	7	14	12	15	7	12	8
ENSSSCG00000000018	1414	3059	1449	2251	1563	2936	1351	1849	1332	1534	1072	1943
ENSSSCG00000000019	782	1013	638	1168	557	901	643	863	759	678	729	693
ENSSSCG00000000020	1	4	1	1	2	8	1	0	6	29	0	6
ENSSSCG00000000021	9	20	31	33	5	29	49	66	1	1	1	3
ENSSSCG00000000022	254	434	174	451	141	313	121	290	75	126	88	162
ENSSSCG00000000024	673	230	386	238	344	145	150	73	211	94	139	96
ENSSSCG00000000025	872	1435	877	646	370	859	653	184	477	812	528	567
ENSSSCG00000000026	0	0	0	1	0	0	5	0	0	0	0	0
ENSSSCG00000000028	0	0	0	1	2	0	0	6	0	0	0	0
ENSSSCG00000000029	5	17	10	21	2	11	25	31	2	15	0	17
ENSSSCG00000000031	4	13	9	23	15	29	14	21	21	10	42	30
ENSSSCG00000000033	1287	1096	718	929	696	509	485	521	2995	2876	3017	2777
ENSSSCG00000000034	383	626	442	668	322	451	373	527	1100	1173	1388	1350
ENSSSCG00000000035	61	99	54	82	45	56	54	58	67	120	105	94
ENSSSCG00000000036	1619	2467	1693	2281	1433	2159	1390	1700	1469	1294	1659	1439
ENSSSCG00000000037	886	988	638	1256	415	747	562	817	452	611	534	618
ENSSSCG00000000038	273	388	265	321	278	484	220	312	1045	612	753	768
ENSSSCG00000000039	576	841	443	922	459	851	405	647	572	560	656	617
ENSSSCG00000000040	3	4	7	9	10	24	5	5	2	0	0	18
ENSSSCG00000000045	114	121	87	129	84	87	61	156	249	182	179	182
ENSSSCG00000000046	12	9	10	8	21	4	7	6	108	118	150	40
ENSSSCG00000000050	680	1105	864	1033	828	1272	830	979	2009	1845	2444	2392
ENSSSCG00000000057	0	0	0	0	0	0	0	0	0	0	0	0
