	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000002	41	27	84	0	35	0	20	29	8	6	9	96
ENSSSCG00000000003	132	47	223	137	147	58	40	121	55	22	100	115
ENSSSCG00000000005	18	27	38	47	27	55	29	4	0	5	33	8
ENSSSCG00000000006	129	75	105	45	24	49	39	88	16	7	7	32
ENSSSCG00000000007	72	25	83	49	84	76	31	62	51	46	86	71
ENSSSCG00000000010	1115	380	406	1619	1558	906	268	1505	81	65	260	132
ENSSSCG00000000014	11	0	54	5	0	0	0	0	7	6	35	21
ENSSSCG00000000018	206	141	101	251	350	286	144	408	265	106	491	552
ENSSSCG00000000019	238	155	238	134	243	113	64	164	89	59	179	262
ENSSSCG00000000020	14	15	13	44	26	12	22	51	5	13	34	1
ENSSSCG00000000021	36	29	43	0	4	19	0	54	43	10	75	17
ENSSSCG00000000022	108	166	113	167	135	168	65	156	50	17	124	208
ENSSSCG00000000024	16	20	10	0	21	8	10	4	37	21	71	40
ENSSSCG00000000025	137	183	162	233	475	206	153	275	86	72	232	323
ENSSSCG00000000026	1	0	0	0	0	0	0	0	6	11	0	0
ENSSSCG00000000028	6	5	9	0	0	7	0	19	0	6	0	20
ENSSSCG00000000029	0	5	14	123	63	32	30	100	11	32	6	19
ENSSSCG00000000031	36	11	6	51	15	4	4	1	5	19	11	0
ENSSSCG00000000033	19	57	3	3	11	7	26	50	45	5	72	115
ENSSSCG00000000034	330	382	404	279	209	246	50	332	178	87	367	381
ENSSSCG00000000035	66	13	75	77	73	6	15	79	25	8	77	15
ENSSSCG00000000036	362	264	343	451	435	197	213	418	253	143	690	607
ENSSSCG00000000037	161	105	111	141	222	143	45	97	22	16	94	30
ENSSSCG00000000038	62	34	39	149	258	112	54	94	74	57	269	455
ENSSSCG00000000039	253	129	192	207	149	124	37	148	90	67	256	227
ENSSSCG00000000040	18	19	0	6	18	0	30	58	3	37	4	0
ENSSSCG00000000045	14	5	34	21	13	2	9	31	0	7	25	0
ENSSSCG00000000046	3	40	0	0	18	0	0	0	1	8	3	45
ENSSSCG00000000050	180	162	142	105	228	160	97	87	113	64	368	401
ENSSSCG00000000057	0	2	0	0	0	0	1	0	0	14	0	0
ENSSSCG00000000058	47	61	14	65	49	59	13	64	6	9	54	9
ENSSSCG00000000059	43	50	95	45	61	11	36	19	3	28	35	101
ENSSSCG00000000061	52	65	140	70	81	57	9	32	36	13	28	23
ENSSSCG00000000062	9	38	51	10	8	37	23	19	4	0	0	0
ENSSSCG00000000063	50	124	56	56	66	76	38	34	47	10	25	36
ENSSSCG00000000064	244	170	233	238	336	265	110	228	156	69	351	294
ENSSSCG00000000066	108	75	167	154	146	100	124	63	65	46	136	127
ENSSSCG00000000067	0	0	0	0	6	5	0	1	0	0	13	0
ENSSSCG00000000068	738	486	1066	907	1391	482	368	1313	330	178	1102	1190
ENSSSCG00000000071	206	78	417	144	282	82	49	165	28	19	215	380
ENSSSCG00000000072	19	11	32	12	23	21	26	40	24	30	35	33
ENSSSCG00000000073	0	0	0	0	0	0	0	0	0	2	0	0
ENSSSCG00000000074	0	0	0	0	0	0	0	0	0	1	0	0
ENSSSCG00000000075	387	372	272	333	611	343	208	305	265	108	617	666
ENSSSCG00000000076	139	167	53	109	76	110	21	155	15	34	56	43
ENSSSCG00000000077	63	60	52	82	134	51	13	39	19	25	63	116
ENSSSCG00000000078	720	401	501	606	942	452	367	623	274	141	673	768
ENSSSCG00000000079	59	173	205	26	13	104	18	148	0	11	3	0
ENSSSCG00000000080	0	38	0	0	0	6	1	0	5	8	0	0
ENSSSCG00000000081	0	0	0	0	0	0	13	0	0	0	0	0
ENSSSCG00000000082	26	12	49	32	13	24	9	4	23	22	6	1
ENSSSCG00000000084	250	236	418	482	429	238	63	362	76	64	377	251
ENSSSCG00000000087	144	140	164	97	161	39	64	215	81	41	160	123
ENSSSCG00000000091	61	28	136	30	100	33	32	74	16	23	93	98
ENSSSCG00000000092	19	2	4	49	39	29	29	3	0	7	0	0
ENSSSCG00000000093	32	61	0	13	15	3	2	21	21	14	33	80
ENSSSCG00000000094	393	288	339	533	497	616	192	248	374	161	674	592
ENSSSCG00000000095	209	108	146	232	239	92	78	224	71	43	171	265
ENSSSCG00000000097	43	50	40	59	56	22	14	126	7	3	32	9
ENSSSCG00000000103	0	0	0	0	16	0	0	0	0	10	0	0
ENSSSCG00000000104	1808	756	1521	1810	2231	736	420	1146	463	403	2354	1499
ENSSSCG00000000105	25	22	16	52	124	3	26	34	3	0	6	1
ENSSSCG00000000106	5	20	14	0	4	0	6	0	0	8	0	0
ENSSSCG00000000107	200	139	170	103	205	171	37	246	125	37	217	69
ENSSSCG00000000108	276	274	190	433	366	92	86	215	113	34	246	228
ENSSSCG00000000110	79	34	173	89	80	61	69	42	54	13	21	28
ENSSSCG00000000111	11	1	0	1	7	0	0	9	0	10	0	0
ENSSSCG00000000113	0	0	0	8	0	0	0	0	0	0	0	0
ENSSSCG00000000114	74	34	79	40	106	191	39	18	44	16	76	227
ENSSSCG00000000116	44	23	65	61	81	41	5	20	5	38	24	8
ENSSSCG00000000117	4	26	5	2	0	0	12	0	1	3	20	9
ENSSSCG00000000118	143	202	364	156	182	274	104	174	152	74	310	269
ENSSSCG00000000119	158	78	174	242	217	134	77	217	47	25	157	196
ENSSSCG00000000120	90	31	24	88	64	31	41	68	27	18	52	46
ENSSSCG00000000121	5	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000130	325	233	141	281	571	327	204	357	155	80	359	265
ENSSSCG00000000131	0	23	0	0	0	3	1	27	0	0	0	0
ENSSSCG00000000132	0	12	0	0	0	10	7	1	2	2	1	0
ENSSSCG00000000133	26	23	5	20	6	0	0	17	24	19	17	38
ENSSSCG00000000135	86	42	35	47	41	39	9	111	70	29	4	132
ENSSSCG00000000136	296	151	422	407	550	273	122	1642	180	84	471	680
ENSSSCG00000000137	218	65	197	167	492	155	205	231	108	119	381	225
ENSSSCG00000000138	8	0	0	0	0	0	5	0	0	2	0	0
