GS,size,normalized_enrichment_score,celltype,analysis
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,27,-1.93,NaSn-,KEGG
DRUG METABOLISM CYTOCHROME P450,31,-1.91,NaSn-,KEGG
DRUG METABOLISM OTHER ENZYMES,24,-1.87,NaSn-,KEGG
RETINOL METABOLISM,28,-1.71,NaSn-,KEGG
NOTCH SIGNALING PATHWAY,45,-1.67,NaSn-,KEGG
LINOLEIC ACID METABOLISM,15,-1.65,NaSn-,KEGG
TYPE II DIABETES MELLITUS,43,-1.62,NaSn-,KEGG
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION,63,-1.6,NaSn-,KEGG
GLYCOLYSIS GLUCONEOGENESIS,48,-1.6,NaSn-,KEGG
FRUCTOSE AND MANNOSE METABOLISM,30,-1.59,NaSn-,KEGG
VASCULAR SMOOTH MUSCLE CONTRACTION,99,1.52,NaSn+,KEGG
ASTHMA,15,1.44,NaSn+,KEGG
TYPE I DIABETES MELLITUS,24,1.33,NaSn+,KEGG
GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN SULFATE,20,1.32,NaSn+,KEGG
ECM RECEPTOR INTERACTION,78,1.32,NaSn+,KEGG
OLFACTORY TRANSDUCTION,118,1.26,NaSn+,KEGG
HISTIDINE METABOLISM,26,1.19,NaSn+,KEGG
NATURAL KILLER CELL MEDIATED CYTOTOXICITY,88,1.14,NaSn+,KEGG
INTESTINAL IMMUNE NETWORK FOR IGA PRODUCTION,34,1.11,NaSn+,KEGG
TGF BETA SIGNALING PATHWAY,80,1.07,NaSn+,KEGG
LEISHMANIA INFECTION,58,1.48,LuSn+,KEGG
ANTIGEN PROCESSING AND PRESENTATION,44,1.41,LuSn+,KEGG
PPAR SIGNALING PATHWAY,59,1.36,LuSn+,KEGG
OLFACTORY TRANSDUCTION,106,1.3,LuSn+,KEGG
LYSOSOME,112,1.28,LuSn+,KEGG
PRION DISEASES,30,1.28,LuSn+,KEGG
GLYCOSPHINGOLIPID BIOSYNTHESIS LACTO AND NEOLACTO SERIES,20,1.15,LuSn+,KEGG
THYROID CANCER,28,1.11,LuSn+,KEGG
ARACHIDONIC ACID METABOLISM,39,1.08,LuSn+,KEGG
REGULATION OF AUTOPHAGY,22,1.04,LuSn+,KEGG
CELL ADHESION MEDIATOR ACTIVITY,61,-1.99,NaSn-,MF
CELL CELL ADHESION MEDIATOR ACTIVITY,52,-1.98,NaSn-,MF
DYNEIN LIGHT INTERMEDIATE CHAIN BINDING,25,-1.94,NaSn-,MF
EXOGENOUS PROTEIN BINDING,66,-1.84,NaSn-,MF
DYNEIN INTERMEDIATE CHAIN BINDING,33,-1.83,NaSn-,MF
MICROTUBULE MOTOR ACTIVITY,65,-1.82,NaSn-,MF
CADHERIN BINDING INVOLVED IN CELL CELL ADHESION,17,-1.8,NaSn-,MF
MINUS END DIRECTED MICROTUBULE MOTOR ACTIVITY,18,-1.79,NaSn-,MF
CYTOSKELETAL MOTOR ACTIVITY,101,-1.73,NaSn-,MF
2 IRON 2 SULFUR CLUSTER BINDING,20,-1.72,NaSn-,MF
"EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT 
CONFERRING COMPRESSION RESISTANCE",18,2.16,NaSn+,MF
PATTERN RECOGNITION RECEPTOR ACTIVITY,22,1.85,NaSn+,MF
EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,157,1.71,NaSn+,MF
VOLTAGE GATED SODIUM CHANNEL ACTIVITY,23,1.66,NaSn+,MF
ANTIGEN BINDING,47,1.65,NaSn+,MF
INTRACELLULAR CALCIUM ACTIVATED CHLORIDE CHANNEL ACTIVITY,16,1.59,NaSn+,MF
OLFACTORY RECEPTOR ACTIVITY,101,1.53,NaSn+,MF
LOW DENSITY LIPOPROTEIN PARTICLE RECEPTOR ACTIVITY,15,1.51,NaSn+,MF
LIPOPROTEIN PARTICLE RECEPTOR ACTIVITY,18,1.5,NaSn+,MF
EXTRACELLULAR MATRIX BINDING,50,1.49,NaSn+,MF
ACYLGLYCEROL LIPASE ACTIVITY,15,1.97,LuSn+,MF
OLFACTORY RECEPTOR ACTIVITY,87,1.82,LuSn+,MF
PATTERN RECOGNITION RECEPTOR ACTIVITY,23,1.68,LuSn+,MF
NEUROPEPTIDE HORMONE ACTIVITY,17,1.64,LuSn+,MF
POLYSACCHARIDE BINDING,20,1.6,LuSn+,MF
HORMONE ACTIVITY,66,1.6,LuSn+,MF
PROTEIN FOLDING CHAPERONE,37,1.56,LuSn+,MF
MOLECULAR FUNCTION ACTIVATOR ACTIVITY,31,1.54,LuSn+,MF
"OXIDOREDUCTASE ACTIVITY ACTING ON PAIRED DONORS 
WITH INCORPORATION",24,1.52,LuSn+,MF
MHC CLASS II PROTEIN COMPLEX BINDING,17,1.51,LuSn+,MF
CILIARY PLASM,119,-2.19,NaSn-,CC
DESMOSOME,23,-2.15,NaSn-,CC
MOTILE CILIUM,200,-2.08,NaSn-,CC
AXONEMAL DYNEIN COMPLEX,21,-2.02,NaSn-,CC
DYNEIN COMPLEX,49,-2.01,NaSn-,CC
9PLUS2 MOTILE CILIUM,132,-1.94,NaSn-,CC
CYTOPLASMIC REGION,238,-1.92,NaSn-,CC
CORNIFIED ENVELOPE,29,-1.89,NaSn-,CC
LATERAL PLASMA MEMBRANE,56,-1.88,NaSn-,CC
CATENIN COMPLEX,29,-1.76,NaSn-,CC
VOLTAGE GATED SODIUM CHANNEL COMPLEX,15,1.86,NaSn+,CC
IMMUNOGLOBULIN COMPLEX,17,1.8,NaSn+,CC
T CELL RECEPTOR COMPLEX,32,1.8,NaSn+,CC
PLATELET ALPHA GRANULE LUMEN,58,1.77,NaSn+,CC
SARCOPLASMIC RETICULUM MEMBRANE,34,1.72,NaSn+,CC
PHAGOCYTIC CUP,25,1.58,NaSn+,CC
COLLAGEN CONTAINING EXTRACELLULAR MATRIX,377,1.56,NaSn+,CC
EXTERNAL ENCAPSULATING STRUCTURE,497,1.54,NaSn+,CC
COLLAGEN TRIMER,77,1.47,NaSn+,CC
PLATELET ALPHA GRANULE,78,1.45,NaSn+,CC
LAMELLAR BODY,15,2.35,LuSn+,CC
FICOLIN 1 RICH GRANULE MEMBRANE,49,2.07,LuSn+,CC
FICOLIN 1 RICH GRANULE,160,1.9,LuSn+,CC
TERTIARY GRANULE,136,1.79,LuSn+,CC
TERTIARY GRANULE MEMBRANE,57,1.59,LuSn+,CC
BLOOD MICROPARTICLE,88,1.51,LuSn+,CC
SPECIFIC GRANULE MEMBRANE,76,1.51,LuSn+,CC
PROTON TRANSPORTING V TYPE ATPASE COMPLEX,25,1.4,LuSn+,CC
CLATHRIN COATED ENDOCYTIC VESICLE,77,1.39,LuSn+,CC
FICOLIN 1 RICH GRANULE LUMEN,111,1.33,LuSn+,CC
AXONEME ASSEMBLY,75,-2.28,NaSn-,BP
EXTRACELLULAR TRANSPORT,38,-2.19,NaSn-,BP
EPIDERMIS DEVELOPMENT,252,-2.08,NaSn-,BP
AXONEMAL DYNEIN COMPLEX ASSEMBLY,31,-2.07,NaSn-,BP
MICROTUBULE BUNDLE FORMATION,107,-2.06,NaSn-,BP
SKIN DEVELOPMENT,207,-2,NaSn-,BP
EPIDERMAL CELL DIFFERENTIATION,146,-1.94,NaSn-,BP
KERATINOCYTE PROLIFERATION,39,-1.93,NaSn-,BP
CILIUM MOVEMENT,158,-1.93,NaSn-,BP
WATER HOMEOSTASIS,54,-1.92,NaSn-,BP
COLLAGEN FIBRIL ORGANIZATION,59,2.38,NaSn+,BP
REGULATION OF PRESYNAPSE ORGANIZATION,28,2.17,NaSn+,BP
REPLACEMENT OSSIFICATION,28,2.1,NaSn+,BP
"RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL 
BY ENDOPLASMIC RETICULUM",27,1.83,NaSn+,BP
POSITIVE REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION,25,1.81,NaSn+,BP
PRESYNAPSE ORGANIZATION,44,1.81,NaSn+,BP
POSTSYNAPTIC SPECIALIZATION ORGANIZATION,26,1.77,NaSn+,BP
CELL AGGREGATION,21,1.77,NaSn+,BP
MALE MEIOSIS I,22,1.77,NaSn+,BP
FACE DEVELOPMENT,46,1.74,NaSn+,BP
REGULATION OF LEUKOCYTE DEGRANULATION,43,2.28,LuSn+,BP
REGULATION OF MAST CELL ACTIVATION,42,2.13,LuSn+,BP
REGULATION OF MAST CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,33,2.1,LuSn+,BP
REGULATION OF SYNCYTIUM FORMATION BY PLASMA MEMBRANE FUSION,29,2.06,LuSn+,BP
NEGATIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION,46,2.01,LuSn+,BP
REGULATION OF AMYLOID BETA CLEARANCE,17,1.94,LuSn+,BP
"POSITIVE REGULATION OF SYNCYTIUM FORMATION 
BY PLASMA MEMBRANE FUSION",24,1.91,LuSn+,BP
NUCLEOSIDE CATABOLIC PROCESS,20,1.91,LuSn+,BP
CHAPERONE COFACTOR DEPENDENT PROTEIN REFOLDING,27,1.89,LuSn+,BP
REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,35,1.88,LuSn+,BP
DESCARTES FETAL STOMACH SQUAMOUS EPITHELIAL CELLS,47,-2.67,NaSn-,CTSA
"DESCARTES FETAL EYE CORNEAL 
AND CONJUNCTIVAL EPITHELIAL CELLS",197,-2.48,NaSn-,CTSA
TRAVAGLINI LUNG DIFFERENTIATING BASAL CELL,133,-2.37,NaSn-,CTSA
DESCARTES FETAL KIDNEY URETERIC BUD CELLS,212,-2.36,NaSn-,CTSA
"DURANTE ADULT OLFACTORY NEUROEPITHELIUM 
RESPIRATORY HORIZONTAL BASAL CELLS",23,-2.33,NaSn-,CTSA
DESCARTES FETAL LUNG SQUAMOUS EPITHELIAL CELLS,150,-2.32,NaSn-,CTSA
DESCARTES MAIN FETAL SQUAMOUS EPITHELIAL CELLS,71,-2.27,NaSn-,CTSA
"DURANTE ADULT OLFACTORY NEUROEPITHELIUM 
RESPIRATORY COLUMNAR CELLS",19,-2.18,NaSn-,CTSA
DESCARTES FETAL STOMACH CILIATED EPITHELIAL CELLS,257,-2.18,NaSn-,CTSA
DESCARTES FETAL HEART ELF3 AGBL2 POSITIVE CELLS,38,-2.15,NaSn-,CTSA
CUI DEVELOPING HEART C3 FIBROBLAST LIKE CELL,110,2.67,NaSn+,CTSA
"DURANTE ADULT OLFACTORY NEUROEPITHELIUM 
VASCULAR SMOOTH MUSCLE CELLS",87,2.48,NaSn+,CTSA
DESCARTES FETAL EYE STROMAL CELLS,81,2.48,NaSn+,CTSA
DESCARTES FETAL THYMUS STROMAL CELLS,127,2.42,NaSn+,CTSA
DESCARTES FETAL HEART STROMAL CELLS,30,2.28,NaSn+,CTSA
TRAVAGLINI LUNG SEROUS CELL,74,2.19,NaSn+,CTSA
GAO LARGE INTESTINE 24W C1 DCLK1POS PROGENITOR,90,2.16,NaSn+,CTSA
"DURANTE ADULT OLFACTORY NEUROEPITHELIUM 
BOWMANS GLAND",27,2.15,NaSn+,CTSA
DESCARTES FETAL STOMACH STROMAL CELLS,45,2.14,NaSn+,CTSA
CUI DEVELOPING HEART SMOOTH MUSCLE CELL,40,2.13,NaSn+,CTSA
AIZARANI LIVER C18 NK NKT CELLS 5,103,2.81,LuSn+,CTSA
TRAVAGLINI LUNG MACROPHAGE CELL,170,2.62,LuSn+,CTSA
FAN EMBRYONIC CTX BRAIN MYELOID,105,2.58,LuSn+,CTSA
DESCARTES FETAL EYE VASCULAR ENDOTHELIAL CELLS,81,2.44,LuSn+,CTSA
"DURANTE ADULT OLFACTORY NEUROEPITHELIUM 
DENDRITIC CELLS",98,2.44,LuSn+,CTSA
TRAVAGLINI LUNG NONCLASSICAL MONOCYTE CELL,160,2.43,LuSn+,CTSA
"DESCARTES MAIN FETAL BRONCHIOLAR 
AND ALVEOLAR EPITHELIAL CELLS",28,2.3,LuSn+,CTSA
DESCARTES FETAL PLACENTA VASCULAR ENDOTHELIAL CELLS,83,2.23,LuSn+,CTSA
DESCARTES FETAL ADRENAL VASCULAR ENDOTHELIAL CELLS,106,2.19,LuSn+,CTSA
AIZARANI LIVER C12 NK NKT CELLS 4,38,2.12,LuSn+,CTSA
