baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000000002	21.8495780483253	1.52800586895336	0.683773540866754	2.23466656375217	0.0254392472953173	0.0778371832653943
ENSSSCG00000000003	142.494806900009	0.034117128167291	0.364472801464029	0.0936067877499994	0.9254215174484	1
ENSSSCG00000000005	24.2285504954229	0.846722794832977	0.408690335661054	2.07179549147745	0.0382845173320921	0.109017238000542
ENSSSCG00000000006	43.6561881185777	-2.90275628795607	0.589324141678357	-4.92556826144811	8.41155389140847e-07	9.00999220014903e-06
ENSSSCG00000000007	74.5103737784973	0.0877901490508162	0.230071456156206	0.381577752049395	0.702774589066893	0.921045046768366
ENSSSCG00000000010	450.059526180325	-0.727990633471615	0.720821869765457	-1.0099452638812	0.312521514962079	0.557780538549601
ENSSSCG00000000014	10.337597473287	-0.0541556543562679	0.56617085882939	-0.0956524934332361	0.92379657256475	1
ENSSSCG00000000018	1751.86342391371	-0.493635749199233	0.230578231052545	-2.14086016249618	0.032285316567745	0.0946570928301134
ENSSSCG00000000019	767.225480838681	-0.153091253756861	0.153337882995271	-0.998391596169242	0.318089507112423	0.565207430648687
ENSSSCG00000000020	4.6614802118935	1.85053475954204	1.23947196944565	1.49300250845502	0.135436530281769	0.298343203666736
ENSSSCG00000000021	19.9324827315467	-4.69588381094838	0.858276793462055	-5.47129299862165	4.46763963833762e-08	6.30919392344426e-07
ENSSSCG00000000022	206.703846261549	-1.01619452011654	0.308484409686309	-3.29415195130893	0.000987191166237992	0.00490768777993309
ENSSSCG00000000024	250.834863245758	-0.686788752699406	0.639401569843415	-1.07411177121069	0.282772589383639	0.520100400527611
ENSSSCG00000000025	675.455645767675	0.0829865142039779	0.421839250251681	0.196725444951995	0.844042396988502	0.986332372670804
ENSSSCG00000000026	0.545018514166831	-3.01306864864161	3.73114345853128	-0.807545644419597	0.419352188333467	0.68431530139771
ENSSSCG00000000028	0.768299974460664	-3.56515321322179	3.24654808837396	-1.09813657958395	0.272144854481201	0.506449933082761
ENSSSCG00000000029	12.2525451708368	-1.13697754067402	0.912457717141157	-1.24606052347972	0.21274217626004	0.42070063054859
ENSSSCG00000000031	18.6608266347082	0.299029160707966	0.494170537826477	0.605113291502957	0.545103723357073	0.802404770304649
ENSSSCG00000000033	1482.18027924515	2.19893224643443	0.340628931441595	6.45550639849706	1.0785762326531e-10	2.51434648274116e-09
ENSSSCG00000000034	713.842333757364	1.46705118345213	0.134115934188481	10.9386792280058	7.52887025055586e-28	1.7938846546993e-25
ENSSSCG00000000035	72.79403363692	0.723219162238692	0.245161813022608	2.94996660908197	0.00317808274664795	0.0135080053021288
ENSSSCG00000000036	1685.35535262644	-0.303713371669501	0.156970278488815	-1.93484635813487	0.0530091523989575	0.14141525085367
ENSSSCG00000000037	688.647157879474	-0.296702001599585	0.185241073829797	-1.60170741545258	0.109220324599923	0.252713829197948
ENSSSCG00000000038	469.610455065723	1.20863154948661	0.253309234999289	4.77136788751507	1.82978981474082e-06	1.81394402969783e-05
ENSSSCG00000000039	609.619729727601	-0.0612717511727743	0.193143611320443	-0.317234159358855	0.751065932070604	0.944322511077198
ENSSSCG00000000040	7.02294256095305	-1.27336695923223	1.0856578132237	-1.1728989960945	0.240836312198225	0.461989971283825
ENSSSCG00000000045	134.291787460452	0.923135291100452	0.303189629939805	3.04474559794057	0.00232877204719816	0.0103007197838725
ENSSSCG00000000046	41.4187837006671	3.16560988768086	0.646535204196883	4.89626839672735	9.76736411850252e-07	1.03007235281644e-05
ENSSSCG00000000050	1331.97641053558	1.03465185821619	0.154259879961	6.70719994387242	1.98394344813049e-11	5.30717822397413e-10
ENSSSCG00000000057	0	NA	NA	NA	NA	NA
ENSSSCG00000000058	785.097303804968	-0.21050129035468	0.203205623535818	-1.03590287853218	0.300247454584419	0.542202396394583
ENSSSCG00000000059	259.14933829942	0.550562743457734	0.186220937319944	2.95650291197826	0.00311149293446639	0.013255218652838
ENSSSCG00000000061	47.5647697276315	0.444453095470245	0.422805213393836	1.05120060347091	0.293166466077587	0.532759962610019
ENSSSCG00000000062	7.02753789026584	-3.37052782548266	1.07650564747459	-3.13098945034769	0.00174218418823427	0.00804940162369974
ENSSSCG00000000063	69.7267498396533	-0.497185981047062	0.342929050008458	-1.4498217081195	0.147108244322083	0.318747492270679
ENSSSCG00000000064	1481.50486905541	0.785330422078266	0.155048180478449	5.06507344784624	4.08242918328189e-07	4.67074575067723e-06
ENSSSCG00000000066	148.760642182588	0.281945595373247	0.243459516696557	1.15807999292408	0.246831393803452	0.47040756049354
ENSSSCG00000000067	4.07768640978503	-0.137533052537654	0.888775942178148	-0.154744346702948	0.877022867442214	0.986332372670804
ENSSSCG00000000068	1487.58900624728	-0.457916148089563	0.231175852704318	-1.98081305955105	0.0476122417120545	0.129754281808978
ENSSSCG00000000071	1666.61647581555	0.492951696266273	0.182868814404411	2.69565752844069	0.00702498519701856	0.0263932841349665
ENSSSCG00000000072	360.211940313242	1.67917578366795	0.246999161960629	6.79830559075178	1.05856733252211e-11	3.03372072877069e-10
ENSSSCG00000000073	3.72495198007974	-1.81753789794829	1.13220928302539	-1.60530206314121	0.108427345366608	0.251304686563415
ENSSSCG00000000074	0.337453097529521	-2.24298169214679	3.76791754068701	-0.595284176982764	0.551653530874018	0.805583143016372
ENSSSCG00000000075	419.021629353742	-0.12650488105505	0.217118673913275	-0.582653158178282	0.560126812363064	0.812628045322256
ENSSSCG00000000076	94.1907994440283	-1.7624330994369	0.843089596768358	-2.09044579151786	0.0365777731049529	0.104930022216658
ENSSSCG00000000077	113.118507448977	0.402215739517532	0.336985110021293	1.19357125153725	0.232645725137096	0.449880411256815
ENSSSCG00000000078	296.069794493151	0.324289857448241	0.180359479849918	1.79801947598258	0.0721739214773291	0.181886093345462
ENSSSCG00000000079	45.6135709116261	-8.83809753629809	1.14672585529583	-7.7072453677414	1.28562475698183e-14	5.98721293075335e-13
ENSSSCG00000000080	0	NA	NA	NA	NA	NA
ENSSSCG00000000081	0.0873038705544249	0.587417917795119	3.81698448996244	0.153895809464214	0.877691888306058	0.986332372670804
ENSSSCG00000000082	2.20270083643268	0.580472852726622	2.07531643423096	0.279703298808851	0.779705147228408	0.96619122955112
ENSSSCG00000000084	2900.72910715643	-0.579356071877978	0.298420297211528	-1.94140974086396	0.0522085977204379	0.139716125883439
ENSSSCG00000000087	124.199535018346	0.722922152588992	0.262661690431123	2.7522938400435	0.00591793945562283	0.0228628388735233
ENSSSCG00000000091	190.41752698477	2.61038348641178	0.224094830159387	11.6485662991652	2.33351639395444e-31	9.37570282912165e-29
ENSSSCG00000000092	5.51965584037172	-3.84658467252017	1.3289950351659	-2.89435593868867	0.00379937206737388	0.0157088242599996
ENSSSCG00000000093	40.2325243239841	0.238213319394855	0.343048135488823	0.694402023364493	0.48743012518167	0.752669984558975
ENSSSCG00000000094	1509.64460068833	0.598079831700401	0.178782395706396	3.34529487278263	0.000821951335069314	0.00419387569893061
ENSSSCG00000000095	675.307286897146	-0.396181295712856	0.28723444816984	-1.37929589656529	0.167803541205063	0.353387704299377
ENSSSCG00000000097	449.100724255668	1.072499387483	0.137491661449457	7.80046859697933	6.16777149330635e-15	2.99487691159574e-13
ENSSSCG00000000103	12.7985484105069	7.59041349423335	3.16157661367942	2.40083174369122	0.0163578559921275	0.0538715569165355
ENSSSCG00000000104	3427.21998947606	0.296084456829346	0.34917474690175	0.847954955094899	0.396463057377011	0.66058908023356
ENSSSCG00000000105	158.563998827554	0.196173558168514	0.507108380500726	0.386847399316907	0.698869184275821	0.91847128214637
ENSSSCG00000000106	0.747934271642543	-2.13372819469713	2.4040304761146	-0.887562872391562	0.374775932414691	0.634305247469186
ENSSSCG00000000107	1235.3343648775	-1.62927416978801	0.344601343979913	-4.72799714293331	2.26745374973697e-06	2.20200923155736e-05
ENSSSCG00000000108	1069.32158136943	-2.13432875794009	0.35507882548392	-6.01085901146405	1.84542847826056e-09	3.44709890137075e-08
ENSSSCG00000000110	44.0709788284789	-0.665532189197912	0.382413591742174	-1.74034658696603	0.0817981783581973	0.201094957736991
ENSSSCG00000000111	2.54086806123632	-0.324747031938518	1.50787128566831	-0.215367873256229	0.829480515709839	0.983900737910872
ENSSSCG00000000113	0	NA	NA	NA	NA	NA
ENSSSCG00000000114	175.597200221375	0.11506456016095	0.335470757119913	0.342994307905713	0.731602742340142	0.935394831101939
ENSSSCG00000000116	113.854997276398	1.0793426259688	0.263717546599037	4.09279791916863	4.26199130325788e-05	0.000311679028533395
ENSSSCG00000000117	6.20339742421078	3.3265836833956	1.16043550334315	2.86666831014038	0.004148175187767	0.0168992153768875
ENSSSCG00000000118	180.745477025195	0.400652398331242	0.329627481200877	1.21547025409293	0.224186787215604	0.438006431811112
ENSSSCG00000000119	1232.48769152221	-0.102753981123255	0.140668249572799	-0.730470318890809	0.465102749269231	0.731533653306402
ENSSSCG00000000120	51.85029571804	0.0971910008929336	0.371152135357191	0.261862971095124	0.793427088463735	0.976375026610107
ENSSSCG00000000121	0.254051613137983	1.95039181711805	3.76783630074114	0.517642397769352	0.604707794684282	0.851561251117644
ENSSSCG00000000130	2753.49395587698	-1.24330617031476	0.50815551414348	-2.44670408115202	0.0144169152390257	0.0485244760451503
ENSSSCG00000000131	0.63786615452317	-3.41778297071356	3.71827525762084	-0.919185034434606	0.357998797553108	0.614230374333144
ENSSSCG00000000132	0	NA	NA	NA	NA	NA
ENSSSCG00000000133	303.403590687259	3.01534709599899	0.322062548376147	9.36261329112155	7.77884463772479e-21	8.21630440575354e-19
ENSSSCG00000000135	194.468507794661	4.64821484413792	0.511200276232466	9.09274712915876	9.65676545264295e-20	8.86016914395443e-18
ENSSSCG00000000136	14100.5636807151	-1.07758856275809	0.478401451024278	-2.25247762198657	0.0242921053224572	0.0749088833954055
ENSSSCG00000000137	1180.11440638857	-0.364661997916922	0.323454383149387	-1.12739853566462	0.25957401791661	0.488288919593248
ENSSSCG00000000138	0	NA	NA	NA	NA	NA
ENSSSCG00000000139	14.9845461371805	-0.157947703415739	0.518804030137087	-0.30444579116705	0.760788286060278	0.951670396780488
ENSSSCG00000000141	1471.28347654098	-0.162205458474508	0.248148752224815	-0.653662196647094	0.513329463614077	0.776798909897057
ENSSSCG00000000142	241.843957193653	-3.80925163989917	0.411915557050176	-9.24765179343581	2.29478534670003e-20	2.2379882004676e-18
ENSSSCG00000000144	91.0306610995364	1.12920928590447	0.277071116890391	4.07552147108565	4.59113456240936e-05	0.000332309919881068
ENSSSCG00000000145	994.949533820202	0.78091897725727	0.295450123841543	2.64314994051617	0.00821386519919349	0.0300446825770571
ENSSSCG00000000146	722.202766239153	-3.22054609090851	0.79991598392478	-4.02610543560704	5.67082691656018e-05	0.000400416658674137
ENSSSCG00000000148	53.3511422532587	1.87477728711822	0.363222764913196	5.161508220902	2.44968130931579e-07	2.9354631408883e-06
ENSSSCG00000000151	0	NA	NA	NA	NA	NA
ENSSSCG00000000152	147.074901460285	-3.64368124385909	0.668797369214605	-5.44810941487106	5.09080396405542e-08	7.08061849941772e-07
ENSSSCG00000000156	413.487676342884	-0.537938996177776	0.283089947386347	-1.90024054596197	0.0574015596063417	0.150854861856297
ENSSSCG00000000157	0	NA	NA	NA	NA	NA
ENSSSCG00000000158	364.42808967624	0.290464134453785	0.192118865254425	1.51189803286169	0.130559804567969	0.290320233901492
ENSSSCG00000000159	0	NA	NA	NA	NA	NA
ENSSSCG00000000160	218.792207726988	-1.72224220431768	0.307964063408403	-5.5923479683204	2.24019286598789e-08	3.377762473654e-07
ENSSSCG00000000161	153.317203502922	-0.102932807771087	0.348503245748602	-0.295356812387736	0.767721321112791	0.956431030576495
ENSSSCG00000000162	47.6397046677605	-1.64383695957633	0.744547341546852	-2.20783403263671	0.0272558447323791	0.0823867110799795
ENSSSCG00000000164	467.14056846044	0.402863095157754	0.290027985104397	1.38904904301818	0.164817837367215	0.348604697098638
ENSSSCG00000000167	282.595133431339	-0.885565402918731	0.172578516026775	-5.1313768556298	2.87630376409115e-07	3.37755532550097e-06
ENSSSCG00000000169	23.7002459301927	-0.0552522174715531	0.398745522152286	-0.138565110833901	0.889793814805131	0.993990353768301
ENSSSCG00000000171	293.444072228841	-1.02726941977636	0.332475796880798	-3.08975699709252	0.0020032031686773	0.00907330595255672
ENSSSCG00000000174	0	NA	NA	NA	NA	NA
