NCBI_GeneID_pig,NCBI_GeneID_human,Ensembl_GeneID_pig,Ensembl_GeneID_human,geneName_pig,geneName_human,group,BvsA_log2FoldChange,BvsA_pvalue,BvsA_padj,Avg_norm_nose,Avg_norm_lung,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
100516043,131450,ENSSSCG00000044512,ENSG00000163606,,CD200R1,H,-4.199127401,0.000115949,0.000612041,18.17000618,1.378879793,11.9376947,11.60408482,6.585249935,27.05516047,39.03892186,33.8347455,12.06690236,3.237289795,0,0,0,5.515519172
100626182,4345,ENSSSCG00000027820,ENSG00000091972,CD200,CD200,H,-3.855359743,2.27E-10,3.60E-09,168.405437,12.10190362,42.17985461,99.27939233,158.0459984,321.9564096,64.3799764,134.1305982,121.5309452,405.7403209,1.909040981,18.0250539,1.999027562,26.47449203
396785,909,ENSSSCG00000025644,ENSG00000158477,,CD1A,H,-3.819387724,5.73E-05,0.000326743,200.9811949,12.35458859,161.5568016,232.0816964,84.66749916,956.3999226,17.80722751,2.416767536,61.19643341,91.72321084,0,14.84416203,6.996596467,27.57759586
404704,920,ENSSSCG00000000687,ENSG00000010610,CD4,CD4,H,-3.505012012,9.61E-09,1.16E-07,1468.616074,154.3289628,424.1860851,1188.774022,641.5914936,432.8825675,1908.797811,4119.380265,1524.739306,1508.577044,79.2252007,176.0093498,71.96499223,290.1163085
100038008,913,ENSSSCG00000006450,ENSG00000158488,CD1E,CD1E,H,-3.254547051,0.001913012,0.007367376,34.93590433,3.071167512,28.65046728,23.20816964,42.33374958,154.2144147,4.794253562,3.625151304,0,22.66102856,2.863561471,7.422081016,1.999027562,0
100514068,100130520,ENSSSCG00000020967,ENSG00000284690,,CD300H,H,-3.098374403,1.98E-16,8.23E-15,2279.287371,298.3329318,2523.62866,3042.848908,1345.272487,2265.869689,1960.164813,4042.043704,1522.153541,1532.317169,247.220807,365.8025644,158.9226912,421.3856648
100038007,912,ENSSSCG00000006452,ENSG00000158473,,CD1D,H,-2.897619172,1.69E-07,1.62E-06,179.6715437,24.95172941,164.7401869,261.7365798,134.5272487,466.7015181,94.5152845,148.6312035,58.61066862,107.9096598,3.818081962,41.35159423,4.997568905,49.63967255
397441,942,ENSSSCG00000011877,ENSG00000114013,CD86,CD86,H,-2.701658624,2.63E-17,1.24E-15,6827.040413,1104.826823,6315.836343,11039.35269,5983.169941,8920.086407,4875.070979,10012.6679,4126.018686,3344.120358,643.3468105,1240.547827,1400.318807,1135.093846
397347,,ENSSSCG00000024791,ENSG00000284969,,CD59,H,-2.401482818,6.16E-05,0.000348172,271.1299919,48.941701,35.8130841,278.4980356,234.2467477,530.2811452,38.35402849,213.8839269,177.5558491,660.4071181,9.545204904,60.43694542,20.9897894,104.7948643
,100133941,ENSSSCG00000031023,ENSG00000272398,CD24,CD24,H,-2.029940059,0.000164596,0.000838839,85.71163931,18.72043096,15.91692627,48.99502479,50.8004995,317.8981355,32.87488157,54.37726956,35.33878549,129.4915918,9.545204904,20.14564847,10.99465159,34.19621887
100155478,135228,ENSSSCG00000004485,ENSG00000156535,CD109,CD109,H,-2.013161789,0.002312169,0.008690962,100.153634,25.5613092,20.69200415,81.22859373,134.5272487,175.8585431,18.49212088,54.37726956,77.57294376,238.4803482,1.909040981,27.56772949,10.99465159,61.77381473
