"a5","a2","a4","a6","a1","a3","a7"
"THBS2","MYH11","KCNH3","FBLN1","HIF3A","PPARA","ARFGAP3"
"IBSP","PDE1B","IGF1","RBFOX2","GRHL3","CYB5R3","KDELR3"
"CCDC3","PLEKHA5","COL11A2","CKAP4","MOCOS","FAM83F","FOXRED2"
"COL7A1","DSP","DAAM2","ACVRL1","MYB","TOMM22","KRT18"
"MEF2C","TNFRSF21","ADAMTSL3","PRR13","LYRM2","KRT5","MAP3K12"
"TRIM29","PEAK1","ACAN","IRAK3","IFNE","KRT8","YBX3"
"COL1A2","SPTB","MMP2","NAP1L1","TNC","HNRNPA1","SCNN1A"
"PLCL1","CYP2A19","MFAP2","A2M","MAL2","ITGA5","FKBP4"
"AEBP1","CYP2F1","KDF1","PLEKHG6","CNN3","DNAJC14","SLC41A2"
"KRT15","KCNN4","FAAH","LRRK2","APCDD1L","IFFO1","ARL1"
"KRT13","TACSTD2","FNDC1","HSP90B1","SCNN1G","FOXQ1","DCN"
"TNS4","CYP4B1","COL12A1","SLC5A8","PPL","CMAH","CARMIL1"
"MCOLN3","LIPG","DUOX2","LUM","EMILIN1","H1-3","MDFI"
"PCOLCE","COL15A1","SYNE2","ACSS3","RASSF6","TRIM26","VEGFA"
"ZG16B","ANGPTL2","LAMTOR2","PANX2","SORBS3","GCLC","CFAP161"
"SLC11A2","S100A2","COL11A1","CRELD2","SIPA1L2","RPS18","HOMER2"
"COL1A1","DLC1","PTGIS","ECI2","SCD","SYNGAP1","CFL2"
"SIX3","SLC4A11","EPAS1","TFAP2A","FRMD4B","CNPY3","SLC22A17"
"AQP3","HIP1","HTRA3","GPLD1","RIPK4","RRP36","CDH24"
"novel","SEMA4C","SCARA5","DDR1","EGFL6","ADGRF5","MCTP2"
"","PROM1","CFAP73","C4A","LAMB3","IQGAP1","GSC"
"","SLIT2","BGN","AGER","EFHD1","CD276","CHST6"
"","TESC","TSPAN18","NOTCH4","SNED1","TTC6","SMPD3"
"","TBX5","VCAN","ITPR3","PTN","PCK2","NECTIN2"
"","ADRB1","FMO1","PPARD","EGFR","ERH","ZNF787"
"","ABLIM1","SCIN","MTCH1","PRDX6","LTBP2","CHD5"
"","VIM","CDHR3","RUNX2","GRIN2C","PTPN21","FHAD1"
"","DLG1","GLUL","STRA6","KRT4","PPP4R4","CTRC"
"","COL4A5","FARP2","PAX9","FAM13A","SYNE3","NUDC"
"","FHL1","MAB21L4","NKX2-1","DSG3","KARS1","RALBP1"
"","PLXNB3","CALD1","NFATC4","MYH14","PHLPP2","MAPRE2"
"","SH3RF2","EBF1","ADCY4","AJUBA","NFAT5","PRKN"
"","TMPRSS4","EVPL","SLC7A7","PLEKHG2","RIPOR1","IYD"
"","CYP51A1","SPNS3","NR2F2","COL24A1","SLC6A2","PPP1R14C"
"","FN1","CAPN14","RGMA","SPEG","TYROBP","SMPDL3A"
"","WDR86","RP2","PLEKHH1","ALPL","RASGRP4","SESN1"
"","PTPRZ1","MST1R","ZFYVE26","SP7","NUCB1","ATP5F1A"
"","SLIT3","ECM2","EML5","ZNF775","NTF4","SMAD7"
"","FAT2","CBR2","RIN3","C1orf216","RRAS","LYSMD2"
"","KRT14","KLF5","CLMN","APCDD1","FCGRT","DTWD1"
"","ALOX15","ESRP2","SETD3","RHBDD2","ASPDH","SEMA6D"
"","F3","FAT4","HSP90AA1","","CLSTN1","IGDCC4"
"","PCSK5","SULT1E1","CDH11","","PLOD1","PYGL"
"","SCN1A","ASPG","MMP15","","FAM131C","FRMD6"
"","TP63","","KIFC3","","ARHGEF19","NID2"
"","PRRG3","","GPT2","","CROCC","SIX4"
"","NRP2","","NFKBID","","ARHGEF10L","BNC2"
"","LRRC15","","APOE","","EIF4G3","PTPRD"
"","COL6A3","","DHX34","","WNT4","SMC5"
"","IER3","","CYTH2","","RPS6KA1","TPM2"
"","ALDH1A1","","FTL","","THEMIS2","SLC44A1"
"","SHISA2","","PPP1R15A","","SDC3","KLF4"
"","IPPK","","NAPSA","","TRIT1","ST6GALNAC4"
"","CELSR1","","FCAR","","EPB41L3","RAPGEF1"
"","AKAP12","","PGD","","OSBPL1A","RALGDS"
"","FZD8","","HSPG2","","GALNT1","COL5A1"
"","DEPDC1B","","FGR","","SSX2IP","GPT"
"","CCL24","","COL16A1","","NEXN","GPAA1"
"","MFAP4","","MAP7D1","","TSPAN1","DCSTAMP"
"","BHLHE40","","MACF1","","PRDX1","RUNX1T1"
"","GJB6","","GLIS1","","TIE1","MMP16"
"","PPP1R14A","","PLK3","","IGF2R","ZFHX4"
"","SPTBN2","","RPS8","","HECA","PREX2"
"","PDLIM7","","VNN2","","BCLAF1","ATP1B1"
"","","","ENPP1","","ARHGAP18","SLAMF7"
"","","","ARG1","","DCBLD1","COPA"
"","","","PRDM1","","KCNQ5","BGLAP"
"","","","SOBP","","CEP162","SSR2"
"","","","TPBG","","AMD1","ATP8B2"
"","","","SETBP1","","MICAL1","ACP6"
"","","","TCF4","","EEF1A1","PHGDH"
"","","","TXNL1","","CCPG1","MAN1A2"
"","","","TPM1","","CAPN3","TSPAN2"
"","","","MYO5A","","SPINT1","KCNA3"
"","","","GNB5","","PAK6","ELAPOR1"
"","","","ATP8B4","","CACHD1","VCAM1"
