"a5","a2","a4","a6","a1","a3","a7"
"CD4","SMPDL3A","TGFBR3","PPARA","CTSF","PARVB","TOMM22"
"TSPAN11","SLAMF6","RAB3IL1","RTL6","","CSF2RB","CKAP4"
"NT5E","GBA","C4BPA","TSPO","","RIC8B","FAM186B"
"S100A4","ADAMTSL4","CDA","TTLL12","","LMBR1L","AAAS"
"SIGLEC1","ASAH1","PLD3","CYB5R3","","ACVRL1","AMHR2"
"TGFA","FLT3","LTB4R","CYP2D6","","RARG","NPFF"
"MRC1","PRXL2A","SLC48A1","NAGA","","MAP3K12","ZNF385A"
"HK3","CD209","","CSDC2","","GPR84","ITGA5"
"FAM20A","APLP2","","SLC25A17","","PIP4K2C","FRS2"
"GPNMB","MAN1C1","","FAM83F","","CNOT2","PTPRB"
"ACP5","CCR2","","APOBEC3B","","MRPS35","ABCC9"
"","PDGFC","","NPTXR","","RECQL","LDHB"
"","LYVE1","","TMEM184B","","WASHC1","ERP27"
"","PPIC","","POLR2F","","SLC6A12","LRRC23"
"","ARSA","","C22orf23","","ANO6","TPI1"
"","VSIG4","","CYTH4","","RIPK1","GAPDH"
"","ST8SIA4","","TST","","JARID2","ACRBP"
"","P2RX4","","KCTD17","","TPMT","VWF"
"","","","FOXRED2","","DCDC2","TEAD4"
"","","","TXN2","","CARMIL1","RHNO1"
"","","","MYH11","","ZSCAN26","FOXM1"
"","","","RBFOX2","","EHMT2","NUP37"
"","","","PRDM4","","C2","SNRPF"
"","","","ADCY6","","HSD17B8","SLC6A15"
"","","","WNT10B","","PRIM2","GPLD1"
"","","","TUBA1B","","CUTA","ALDH5A1"
"","","","PRPH","","TCP11","TNF"
"","","","DNAJC22","","ETV7","FKBPL"
"","","","SPATS2","","KCTD20","FANCE"
"","","","PRPF40B","","GTPBP2","FGD2"
"","","","FAIM2","","FES","TBC1D22B"
"","","","NCKAP5L","","KIF7","GLP1R"
"","","","AQP5","","NEIL1","MRPL2"
"","","","GPD1","","COMMD4","AARS2"
"","","","POU6F1","","EDC3","CYP39A1"
"","","","TAMALIN","","ADPGK","FAH"
"","","","KRT5","","HEXA","ANPEP"
"","","","KRT8","","NFKBIA","TMEM266"
"","","","KRT18","","EGLN3","LOXL1"
"","","","CSAD","","EMC9","RIPK3"
"","","","TNS2","","TEP1","ADCY4"
"","","","ESPL1","","PARP2","NOP9"
"","","","PRR13","","EXD2","DHRS1"
"","","","GDF11","","SMOC1","PNP"
"","","","DGKA","","MAP3K9","ARG2"
"","","","SUOX","","SIPA1L1","NPC2"
"","","","RBMS2","","VASH1","CPSF2"
"","","","ARHGAP9","","SPATA7","ITPK1"
"","","","KIF5A","","EML5","VRK1"
"","","","DTX3","","CHGA","CILK1"
"","","","ATP23","","ASB2","SPIRE2"
"","","","LRIG3","","OTUB2","DBNDD1"
"","","","SLC16A7","","SYNE3","MEAK7"
"","","","IRAK3","","PPP1R13B","PHLPP2"
"","","","HELB","","CRISPLD2","SLC9A5"
"","","","GRIP1","","PLCG2","ADGRG3"
"","","","TRHDE","","CMIP","ADGRG1"
"","","","PHLDA1","","CFAP20","PEPD"
"","","","PKP2","","PDCD5","GPI"
"","","","PPFIBP1","","KMT2B","FAM98C"
"","","","ARNTL2","","ALKBH6","LGALS13"
"","","","SOX5","","TBCB","SNRPA"
"","","","KCNJ8","","GRIK5","B9D2"
"","","","GYS2","","SLC1A5","LIPE"
"","","","GOLT1B","","IL4I1","C5AR2"
"","","","SLCO1A2","","PNKP","RRAS"
"","","","PLEKHA5","","ATF5","FUZ"
"","","","PIK3C2G","","NKG7","NLRP12"
"","","","EPS8","","ZNF175","LENG9"
"","","","PTPRO","","TPRG1L","ISOC2"
"","","","RERG","","PADI3","KLHL21"
"","","","CLEC7A","","AKR7A2","PADI4"
"","","","CLEC1B","","KDM1A","HSPG2"
"","","","CLEC12B","","STPG1","C1QA"
"","","","CLEC2B","","MAP3K6","ZDHHC18"
"","","","A2M","","SDC3","ADGRB2"
"","","","RIMKLB","","AZIN2","FAM167B"
"","","","APOBEC1","","HPCAL1","CAP1"
"","","","GPR162","","LPAR3","KCTD1"
"","","","CDCA3","","CYP2J34","CDH2"
"","","","USP5","","FGGY","MOCOS"
"","","","COPS7A","","CPT2","PLPP3"
"","","","LPAR5","","FAAH","MAST2"
"","","","SCNN1A","","PHACTR2","ZSWIM5"
"","","","PLEKHG6","","ARHGAP18","SMOC2"
"","","","NDUFA9","","PTPRK","RNASET2"
"","","","PRMT8","","ECHDC1","AGPAT4"
"","","","CRACR2A","","CLVS2","FBXO5"
"","","","TSPAN9","","KPNA5","LRP11"
"","","","FKBP4","","ZUP1","PCMT1"
"","","","WNT5B","","SLC35A1","ABRACL"
"","","","BID","","USP45","NHSL1"
"","","","USP18","","CRYBG1","HINT3"
"","","","KIF21A","","MTO1","HEY2"
"","","","LRRK2","","SPG21","TPD52L1"
"","","","TMEM117","","LIPC","KCNQ5"
"","","","SLC38A1","","SPATA5L1","CNR1"
"","","","SLC38A2","","DUOXA1","RRAGD"
"","","","AMIGO2","","ZSCAN29","POPDC3"
"","","","CHST11","","MAPKBP1","SESN1"
"","","","NT5DC3","","NDUFAF1","METTL24"
"","","","IGF1","","THBS1","CD164"
"","","","PARPBP","","LRRK1","FYN"
"","","","SPIC","","PIGN","LAMA4"
"","","","SLC5A8","","PARP16","DSE"
"","","","GAS2L3","","MAP2K1","BCKDHB"
"","","","LTA4H","","ARID4A","FILIP1"
"","","","HAL","","DHRS7","COL12A1"
"","","","NTN4","","HACD4","CD109"
"","","","FGD6","","UHRF2","SETBP1"
"","","","TMCC3","","IL33","MBD2"
"","","","PLXNC1","","KIAA2026","MNS1"
"","","","NTS","","CD274","TMOD3"
"","","","ACSS3","","APBA1","DLL4"
"","","","LARGE1","","CEP78","RAD51"
"","","","SELENOO","","TESK1","MEIS2"
"","","","PANX2","","CD72","SCG5"
"","","","FOXQ1","","TMEM8B","ASB7"
"","","","GMDS","","FRMPD1","OTUD7A"
"","","","ECI2","","COL15A1","SERPINB10"
"","","","SLC22A23","","STRBP","ZCCHC2"
"","","","SERPINB1","","NEK6","TNFRSF11A"
"","","","DSP","","PTGES","LMAN1"
"","","","TFAP2A","","RAPGEF1","LRFN5"
"","","","PHACTR1","","GTF3C4","ATL1"
"","","","DTNBP1","","KCNT1","NID2"
"","","","MYLIP","","SNRPA1","PSMA3"
"","","","RNF144B","","TOR4A","HIF1A"
"","","","MBOAT1","","HSF1","PTPRD"
"","","","SCGN","","SDC2","PLPP6"
"","","","ZNF322","","DECR1","SMC5"
"","","","ZNF184","","ATP6V0D2","TRPM6"
"","","","GPX6","","SEC31B","RUSC2"
"","","","POLR1H","","LACTB2","MELK"
"","","","PPP1R10","","PDE7A","NANS"
"","","","TUBB","","SDCBP","ANKS6"
"","","","DDR1","","PENK","GALNT12"
"","","","C6orf15","","PRKDC","DNAJC25"
"","","","TCF19","","CD84","MEGF9"
"","","","SLC44A4","","CD1E","MRRF"
"","","","EGFL8","","NAXE","NR6A1"
"","","","AGPAT1","","GLMP","PTRH1"
"","","","NOTCH4","","HAX1","FPGS"
"","","","PSMB9","","CRTC2","HDHD2"
"","","","FAM83B","","PGLYRP4","DIPK1B"
"","","","LRRC1","","SEMA6C","CCN4"
"","","","GCLC","","BCL9","TMEM71"
"","","","DST","","CD2","ATAD2"
"","","","KIFC1","","CASQ2","CTHRC1"
"","","","ITPR3","","MOV10","LAPTM4B"
"","","","SCUBE3","","FAM102B","ZBTB10"
"","","","TEAD3","","PRMT6","HEY1"
"","","","FKBP5","","DPYD","IL7"
"","","","MAPK14","","ABCA4","ZC2HC1A"
"","","","BNIP5","","KYAT3","STAU2"
"","","","CDKN1A","","TASP1","ADHFE1"
"","","","MTCH1","","IDH3B","OPRK1"
