NCBI_GeneID_pig	NCBI_GeneID_human	Ensembl_GeneID_pig	Ensembl_GeneID_human	geneName_pig	geneName_human
		ENSSSCG00000018060			
		ENSSSCG00000018061			
		ENSSSCG00000018062			
		ENSSSCG00000018063			
		ENSSSCG00000018064			
808501	4535	ENSSSCG00000018065	ENSG00000198888	ND1	MT-ND1
		ENSSSCG00000018066			
		ENSSSCG00000018067			
		ENSSSCG00000018068			
808502	4536	ENSSSCG00000018069	ENSG00000198763	ND2	MT-ND2
		ENSSSCG00000018070			
		ENSSSCG00000018071			
		ENSSSCG00000018072			
		ENSSSCG00000018073			
		ENSSSCG00000018074			
808503	4512	ENSSSCG00000018075	ENSG00000198804	COX1	MT-CO1
		ENSSSCG00000018076			
		ENSSSCG00000018077			
808504	4513	ENSSSCG00000018078	ENSG00000198712	COX2	MT-CO2
		ENSSSCG00000018079			
808505	4509	ENSSSCG00000018080	ENSG00000228253	ATP8	MT-ATP8
808506	4508	ENSSSCG00000018081	ENSG00000198899	ATP6	MT-ATP6
808507	4514	ENSSSCG00000018082	ENSG00000198938	COX3	MT-CO3
		ENSSSCG00000018083			
808508	4537	ENSSSCG00000018084	ENSG00000198840	ND3	MT-ND3
		ENSSSCG00000018085			
808509	4539	ENSSSCG00000018086	ENSG00000212907	ND4L	MT-ND4L
808510	4538	ENSSSCG00000018087	ENSG00000198886	ND4	MT-ND4
		ENSSSCG00000018088			
		ENSSSCG00000018089			
		ENSSSCG00000018090			
808511	4540	ENSSSCG00000018091	ENSG00000198786	ND5	MT-ND5
808512	4541	ENSSSCG00000018092	ENSG00000198695	ND6	MT-ND6
		ENSSSCG00000018093			
808513	4519	ENSSSCG00000018094	ENSG00000198727	CYTB	MT-CYB
		ENSSSCG00000018095			
		ENSSSCG00000018096			
		ENSSSCG00000033408			
		ENSSSCG00000019519			
		ENSSSCG00000036137			
		ENSSSCG00000031544	ENSG00000199702	U6	RNU6-170P
		ENSSSCG00000024374	ENSG00000252611	U6	RNU6-1121P
		ENSSSCG00000028766	ENSG00000263944	Metazoa_SRP	RN7SL435P
		ENSSSCG00000024153	ENSG00000201659	U12	RNU12-2P
		ENSSSCG00000043827			
		ENSSSCG00000035588			
		ENSSSCG00000019137			
		ENSSSCG00000020141	ENSG00000251940		
		ENSSSCG00000046617			
		ENSSSCG00000020518	ENSG00000252943	U6	RNU6-264P
		ENSSSCG00000019007			
		ENSSSCG00000024387	ENSG00000278525	Metazoa_SRP	RN7SL607P
		ENSSSCG00000019993			
		ENSSSCG00000018796			
		ENSSSCG00000050798			
		ENSSSCG00000020183			
		ENSSSCG00000024834			
		ENSSSCG00000019630	ENSG00000253437	U6	RNU6-988P
		ENSSSCG00000018113			
		ENSSSCG00000048632			
		ENSSSCG00000037027			
		ENSSSCG00000033714			
		ENSSSCG00000038788	ENSG00000207261	U6	RNU6-738P
	654322	ENSSSCG00000019323	ENSG00000238363	SNORA13	SNORA13
		ENSSSCG00000019627			
		ENSSSCG00000028702	ENSG00000200403	U6	RNU6-1099P
		ENSSSCG00000024083			
		ENSSSCG00000018959	ENSG00000201255	U6	RNU6-990P
		ENSSSCG00000023774	ENSG00000244294	Metazoa_SRP	RN7SL740P
		ENSSSCG00000020497	ENSG00000252157	U6	RNU6-479P
		ENSSSCG00000034411			
		ENSSSCG00000026720			
	619564	ENSSSCG00000022062	ENSG00000212296	SNORD72	SNORD72
		ENSSSCG00000046501	ENSG00000251994	U2	RNU2-27P
		ENSSSCG00000040806			
		ENSSSCG00000046862			
		ENSSSCG00000036890			
		ENSSSCG00000033205	ENSG00000244544	Metazoa_SRP	RN7SL446P
		ENSSSCG00000024209	ENSG00000265486	Metazoa_SRP	RN7SL518P
		ENSSSCG00000020189	ENSG00000201709	U6	RNU6-686P
		ENSSSCG00000034573			
		ENSSSCG00000040014	ENSG00000212360	U6	RNU6-1177P
		ENSSSCG00000044554			
		ENSSSCG00000020200			
		ENSSSCG00000019498	ENSG00000212147	U6	RNU6-1106P
		ENSSSCG00000019377	ENSG00000199492	U6	RNU6-1313P
		ENSSSCG00000020046			
		ENSSSCG00000034121	ENSG00000251958	U6	RNU6-1102P
		ENSSSCG00000032627			
		ENSSSCG00000026738			
		ENSSSCG00000018423			
		ENSSSCG00000019329	ENSG00000222627	U2	RNU2-37P
		ENSSSCG00000018486	ENSG00000252916	U6	RNU6-762P
		ENSSSCG00000034381	ENSG00000206833	U6	RNU6-20P
		ENSSSCG00000044779	ENSG00000243466		IGKV1-5
		ENSSSCG00000038204	ENSG00000270467		IGHV3OR16-12
		ENSSSCG00000019958	ENSG00000200483	U6	RNU6-1017P
		ENSSSCG00000033349			
		ENSSSCG00000020088	ENSG00000252252	U6	RNU6-687P
		ENSSSCG00000035853			
	677885	ENSSSCG00000041182	ENSG00000239149	SNORA59A	SNORA59A
		ENSSSCG00000032259	ENSG00000275504	U7	U7
		ENSSSCG00000035963			
		ENSSSCG00000018447			
		ENSSSCG00000020322			
		ENSSSCG00000028965	ENSG00000199347	U5	RNU5E-1
		ENSSSCG00000020570	ENSG00000252677		
		ENSSSCG00000020390	ENSG00000252431	U6	RNU6-1247P
		ENSSSCG00000018925	ENSG00000212520	U6	RNU6-1250P
		ENSSSCG00000042748			
		ENSSSCG00000018723	ENSG00000238723	Y_RNA	Y_RNA
		ENSSSCG00000038113	ENSG00000252643	U6	RNU6-1136P
		ENSSSCG00000024138			
		ENSSSCG00000037167	ENSG00000207013	U6	RNU6-804P
		ENSSSCG00000039697	ENSG00000277986	U4	U4
		ENSSSCG00000037436			
		ENSSSCG00000019589	ENSG00000212153	U1	RNU1-82P
		ENSSSCG00000019381			
		ENSSSCG00000019565			
		ENSSSCG00000020611	ENSG00000202237	U6	RNU6-53P
		ENSSSCG00000031534	ENSG00000200350	U6	RNU6-1285P
		ENSSSCG00000018799			
		ENSSSCG00000036269	ENSG00000251891	U7	RNU7-79P
		ENSSSCG00000050301			
		ENSSSCG00000035143			
		ENSSSCG00000018997			
		ENSSSCG00000020037			
		ENSSSCG00000039150	ENSG00000212623	U6	RNU6-493P
		ENSSSCG00000020460	ENSG00000199272	U6	RNU6-349P
		ENSSSCG00000037434	ENSG00000251774	U6	RNU6-377P
		ENSSSCG00000018686	ENSG00000252425		
		ENSSSCG00000019721	ENSG00000252474	U6	RNU6-539P
		ENSSSCG00000037419			
		ENSSSCG00000020398			
	692213	ENSSSCG00000019046	ENSG00000221116	SNORD110	SNORD110
		ENSSSCG00000040832			
		ENSSSCG00000020575			
		ENSSSCG00000041676			
		ENSSSCG00000029850	ENSG00000221514	SNORD111B	SNORD111B
	677831	ENSSSCG00000019599	ENSG00000271798	SNORA51	SNORA51
	692214	ENSSSCG00000026461	ENSG00000221066	SNORD111	SNORD111
		ENSSSCG00000019936	ENSG00000207160	U6	RNU6-1289P
		ENSSSCG00000018650	ENSG00000201151		
		ENSSSCG00000031268			
		ENSSSCG00000020323			
		ENSSSCG00000018315	ENSG00000222303	U6	RNU6-935P
	26792	ENSSSCG00000018196	ENSG00000226572	SNORD57	SNORD57
		ENSSSCG00000019028	ENSG00000199959		
		ENSSSCG00000028772			
		ENSSSCG00000043174			
	692201	ENSSSCG00000018372	ENSG00000212498	SNORD86	SNORD86
		ENSSSCG00000031454			
		ENSSSCG00000029455	ENSG00000206788	U6	RNU6-629P
100621571	344167	ENSSSCG00000036354	ENSG00000214336	FOXI3	FOXI3
		ENSSSCG00000038369			
		ENSSSCG00000018664			
		ENSSSCG00000020928	ENSG00000252969	SNORA70	SNORA70
		ENSSSCG00000019351			
		ENSSSCG00000032268	ENSG00000201324	U6	RNU6-361P
		ENSSSCG00000045807	ENSG00000223198	U2	RNU2-22P
	109616964	ENSSSCG00000018553	ENSG00000206603		SNORA22B
		ENSSSCG00000040094	ENSG00000252391	U6	RNU6-638P
		ENSSSCG00000033984	ENSG00000252980	U6	RNU6-367P
		ENSSSCG00000019948	ENSG00000252348	U6	RNU6-1256P
		ENSSSCG00000033141			
		ENSSSCG00000034130	ENSG00000200095	U6	RNU6-181P
		ENSSSCG00000037943			
		ENSSSCG00000029272	ENSG00000223284	U6	RNU6-195P
		ENSSSCG00000018775			
		ENSSSCG00000039617	ENSG00000201592		
		ENSSSCG00000025487			
		ENSSSCG00000018312			
		ENSSSCG00000019976	ENSG00000200253	U6	RNU6-529P
		ENSSSCG00000034166			
		ENSSSCG00000032771	ENSG00000200086	U6	RNU6-433P
		ENSSSCG00000025771	ENSG00000201709	U6	RNU6-686P
		ENSSSCG00000026500			
		ENSSSCG00000029965			
		ENSSSCG00000040082	ENSG00000200648	U6	RNU6-226P
		ENSSSCG00000019106			
		ENSSSCG00000037749			
		ENSSSCG00000019195	ENSG00000199924	U6	RNU6-1252P
	619565	ENSSSCG00000018538	ENSG00000199785	SNORA52	SNORA52
		ENSSSCG00000020464			
		ENSSSCG00000019524			
		ENSSSCG00000034737			
		ENSSSCG00000019904	ENSG00000201746	U6	RNU6-828P
		ENSSSCG00000032654	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000031561			
		ENSSSCG00000035019			
		ENSSSCG00000019583			
		ENSSSCG00000033429	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000040302			
		ENSSSCG00000040605			
	94163	ENSSSCG00000033121	ENSG00000281859	SNORD38B	SNORD38B
		ENSSSCG00000033905	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000034034	ENSG00000206641	U6	RNU6-449P
		ENSSSCG00000038775	ENSG00000207422	U6	RNU6-813P
		ENSSSCG00000035753			
		ENSSSCG00000040268	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000036315	ENSG00000201805	U6	RNU6-1180P
		ENSSSCG00000038146	ENSG00000277108	SNORD49B	SNORD49B
	94162	ENSSSCG00000032021	ENSG00000202031	SNORD38A	SNORD38A
		ENSSSCG00000039794	ENSG00000252985	SNORD116	SNORD116
	26800	ENSSSCG00000018456	ENSG00000277370	SNORD49A	SNORD49A
	26811	ENSSSCG00000028894	ENSG00000264294	SNORD39	SNORD55
		ENSSSCG00000019555	ENSG00000252425		
	338428	ENSSSCG00000033659	ENSG00000274640		SNORD109A
	692106	ENSSSCG00000018462	ENSG00000277512	SNORD65	SNORD65
		ENSSSCG00000035184			
		ENSSSCG00000036949	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000038681	ENSG00000200376	U5	RNU5E-10P
		ENSSSCG00000019518			
		ENSSSCG00000037200			
		ENSSSCG00000040299			
		ENSSSCG00000037362	ENSG00000252985	SNORD116	SNORD116
		ENSSSCG00000018387			
		ENSSSCG00000026188			
		ENSSSCG00000031908	ENSG00000201909	U6	RNU6-590P
		ENSSSCG00000034605	ENSG00000252985	SNORD116	SNORD116
	677814	ENSSSCG00000020938	ENSG00000199477		SNORA31
	94161	ENSSSCG00000018197	ENSG00000200913	SNORD46	SNORD46
		ENSSSCG00000019153			
